Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,North-West Europe,2.4406856623907367,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.9876262912929957,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0.1929844477239187,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,South-East Asia,1.7255080031785675,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.9422181859461914,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,Americas,4.642978771710751,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,Sub-Saharan Africa,0.9649222386195935,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,At sea,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Marriages and civil unions in year,,207,number,Number of marriages and civil unions,,2018,Year,https://figure.nz/table/wN0BvvHmV3rUX6RM
Queenstown-Lakes,Demographics,Legally registered relationship status (Age 15+),Married,10161,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Legally registered relationship status (Age 15+),Separated/divorced or dissolved/widowed/surviving partner,2514,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Legally registered relationship status (Age 15+),Never married and never in a civil union,8058,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
